T_us,nbar_mode1,nbar_mode2,nbar_mode3,nbar_mode4,nbar_mode5,nbar_mode6,nbar_mode7,nbar_mode8,nbar_mode9
50.0,309.08676080657443,0.006213757141771355,3.433613418600922e-11,9.406605591846762e-08,3.43361289295126e-11,2.832935808439917e-09,5.493780545119334e-12,1.0010523853432072e-06,1.2361003884705535e-11
50.753768844221106,309.0867608110619,0.00714735663920229,3.433613405234772e-11,9.406605584580168e-08,3.4336129040377344e-11,2.8082700275021236e-09,5.493780548380709e-12,1.0005587480386421e-06,1.236100388702556e-11
51.50753768844221,309.0867608047551,0.007265330049931467,3.4336134321580905e-11,9.296003853137353e-08,3.433612899362107e-11,2.8506142836646636e-09,5.49378056111232e-12,1.0017363951039543e-06,1.236100383482608e-11
52.26130653266332,281.6512598933121,0.003994387383296744,3.128835066164377e-11,9.321016817174817e-08,3.128834711870467e-11,2.8205298003438626e-09,5.0061323733903194e-12,9.996750329232619e-07,1.1263804200760957e-11
53.015075376884425,154.98846977733135,0.002227137061300288,1.7217508625031228e-11,9.321016818870625e-08,1.721750922900328e-11,2.820529802706737e-09,2.754801439343055e-12,9.996750328514862e-07,6.198303758150182e-12
53.768844221105525,127.37111612034984,0.002227137061213299,1.4149525274158656e-11,9.339732683059127e-08,1.4149525233878487e-11,2.8205298014438904e-09,2.263923060814396e-12,9.996750338465208e-07,5.093829532685858e-12
54.52261306532663,127.37108569948869,0.0026107629006117735,1.4149522176186853e-11,9.339732680575886e-08,1.4149522012988236e-11,2.8205297992276386e-09,2.2639225052093845e-12,9.997443359494241e-07,5.093828364478851e-12
55.27638190954774,125.48672611156002,0.002071065058803564,1.3940190989257878e-11,9.308529914704795e-08,1.3940190424389424e-11,2.792098327952197e-09,2.2304290800942137e-12,9.989613628193137e-07,5.018470214412066e-12
56.030150753768844,74.7768791344927,0.001476273140131908,8.306885020896159e-12,9.308529916424758e-08,8.306886046364073e-12,2.80299894731796e-09,1.3291024111703565e-12,9.989613628906877e-07,2.9904789572519043e-12
56.78391959798995,69.69323402949802,0.001476273139986534,7.742150025836162e-12,9.308529915473138e-08,7.742149598052808e-12,2.8029989458889736e-09,1.2387434470648855e-12,9.989613613607649e-07,2.7871744860913388e-12
57.537688442211056,105.16720138290012,0.0016578905079012343,1.1682918293502735e-11,9.341400955475365e-08,1.168291561250223e-11,2.8090638323810097e-09,1.8692673463035115e-12,9.989613622217868e-07,4.205851707279595e-12
58.29145728643216,108.34139582692615,0.0016578905083081022,1.2035535810746547e-11,9.3414009551744e-08,1.2035533562416223e-11,2.8090638292960256e-09,1.9256849094375895e-12,9.987395579245541e-07,4.332792020376663e-12
59.04522613065327,108.34139583150575,0.0016479986462661325,1.2035535824213377e-11,9.320367143285176e-08,1.203553350409399e-11,2.809063826773195e-09,1.9256849123324082e-12,9.987395593894176e-07,4.332791997500269e-12
59.798994974874375,108.3413958209994,0.001978245608790667,1.2035536019806174e-11,9.320367139834025e-08,1.2035533544788274e-11,2.8170093767072584e-09,1.9256849350744463e-12,9.987707233690172e-07,4.332792036815514e-12
60.552763819095475,108.03294252065642,0.002978392893282546,1.2001269525166296e-11,9.361971043197093e-08,1.2001267807870193e-11,2.817009364671153e-09,1.920202818648842e-12,9.98770723830096e-07,4.3204557499321945e-12
61.30653266331658,81.10022171434558,0.002978392893520802,9.009339463299885e-12,9.361971037784801e-08,9.009339603070213e-12,2.8170093603930556e-09,1.4414924686520968e-12,9.99268598038144e-07,3.2433623721192173e-12
62.06030150753769,72.467550592073,0.002743112834751425,8.0503469250643e-12,9.361971037366101e-08,8.050345289126187e-12,2.7990523811892223e-09,1.2880551228091438e-12,9.988259805677237e-07,2.8981230198426625e-12
62.814070351758794,72.46755058934868,0.00263410604210261,8.050346875824772e-12,9.312755099854636e-08,8.050345320810266e-12,2.7990523845154843e-09,1.2880550774742849e-12,9.988259781804715e-07,2.8981230389938453e-12
63.5678391959799,76.88565703465517,0.003497075640090927,8.541148520988785e-12,9.312755091533863e-08,8.5411481460193e-12,2.820675897008828e-09,1.366582483855055e-12,9.992937435250657e-07,3.0748107856317047e-12
64.321608040201,114.94143958284972,0.0034970756409055913,1.2768724808410451e-11,9.310018937245854e-08,1.2768725538437478e-11,2.820675891935139e-09,2.042996113765683e-12,9.993069232454004e-07,4.5967389472589644e-12
65.07537688442211,124.11405135334921,0.0034970756405326817,1.378770211441309e-11,9.31390019768445e-08,1.3787701624457249e-11,2.8206758904637587e-09,2.206032460077223e-12,9.989303366421198e-07,4.9635725065088935e-12
65.82914572864321,77.00506426458278,0.001873585040852417,8.554415267828102e-12,9.313900198789766e-08,8.554413024700046e-12,2.8099661858437513e-09,1.3687072734516184e-12,9.981833735107585e-07,3.0795883371952317e-12
66.58291457286433,37.76304262988765,0.001746366814845258,4.195059225790788e-12,9.31390019235664e-08,4.19505745070133e-12,2.8099661885760327e-09,6.712091307951696e-13,9.981833721176879e-07,1.5102201929502277e-12
67.33668341708542,65.40990596462811,0.0017463668153844677,7.26631848992252e-12,9.303623868552227e-08,7.266318677677289e-12,2.8099661910384522e-09,1.1626113966805878e-12,9.981833729407136e-07,2.615873157654497e-12
68.09045226130654,118.82231250985818,0.0017463668154533893,1.3199850859532802e-11,9.303623882392732e-08,1.3199848133985494e-11,2.809966182225847e-09,2.111977843885825e-12,9.981833732586982e-07,4.751944654159644e-12
68.84422110552764,121.66204216963767,0.001483767393206613,1.3515314520686826e-11,9.303623880187563e-08,1.3515310791925908e-11,2.804925366727437e-09,2.1624512037315974e-12,9.981833722942311e-07,4.8655088293441325e-12
69.59798994974875,121.66204217901107,0.0013256314344140332,1.3515314646577476e-11,9.317344578074756e-08,1.3515310868339568e-11,2.804925371718888e-09,2.1624512083085218e-12,9.980443389015178e-07,4.865508806156429e-12
70.35175879396985,121.6620421796391,0.001318451568421224,1.3515314633201995e-11,9.317344569049109e-08,1.3515310819321541e-11,2.804925367086198e-09,2.1624512018793647e-12,9.98044336647329e-07,4.86550878031104e-12
71.10552763819095,121.66204217646192,0.0010449492389329547,1.3515314573976048e-11,9.317344575864615e-08,1.35153108697738e-11,2.79514131766302e-09,2.1624511774103633e-12,9.978284260168951e-07,4.865508784922213e-12
