% Model,ion trap blade.mph
% Version,COMSOL 6.1.0.357
% Date,"Jul 24 2023, 20:38"
% Dimension,3
% Nodes,891
% Expressions,21
% Description,Electric potential
% Length unit,mm
% x,y,z,esbe.V (V) @ delta=0,esbe.V (V) @ delta=1,esbe.V (V) @ delta=2,esbe.V (V) @ delta=3,esbe.V (V) @ delta=4,esbe.V (V) @ delta=5,esbe.V (V) @ delta=6,esbe.V (V) @ delta=7,esbe.V (V) @ delta=8,esbe.V (V) @ delta=9,esbe.V (V) @ delta=10,esbe.V (V) @ delta=11,esbe.V (V) @ delta=12,esbe.V (V) @ delta=13,esbe.V (V) @ delta=14,esbe.V (V) @ delta=15,esbe.V (V) @ delta=16,esbe.V (V) @ delta=17,esbe.V (V) @ delta=18,esbe.V (V) @ delta=19,esbe.V (V) @ delta=20
0,0,-0.3,0.14769473936904953,0.145614167155104,0.14354289205716864,0.14148212674251787,0.13943308387847525,0.13739697613249152,0.13537501617171188,0.13336841666354576,0.13137839027526355,0.1294061496741266,0.12745290752743865,0.1255198765026691,0.12360826926703128,0.12171929848776358,0.11985417683220179,0.1180141169678795,0.11620033156170517,0.11441403328117727,0.11265643479368848,0.1109287487664653,0.10923218786681788
0,0,-0.29975995199039807,0.14761188197286895,0.14553359317064946,0.14346460815144846,0.1414061404521082,0.13935940360963117,0.13732561116102726,0.1353059766431104,0.13330171359280107,0.13131403554710513,0.12934415604278454,0.1273932886168055,0.1254626468062201,0.12355344414787867,0.12166689417866144,0.11980421043541928,0.11796660645537543,0.11615529577500666,0.11437149193143364,0.11261640846162929,0.11089125890250912,0.10919725679087738
0,0,-0.2993098619723944,0.14745675923278373,0.14538274839250387,0.14331805384932855,0.14126389077236673,0.13922147433088544,0.1371920196941746,0.1351767420312835,0.13317685651149125,0.13119357830396888,0.12922812257780036,0.1272817045022006,0.12535553924654885,0.12345084197992007,0.1215688278714438,0.11971071209032819,0.11787770980596246,0.11607103618712539,0.11429190640327369,0.11254153562361086,0.11082113901730145,0.10913193175343788
0,0,-0.29885977195439084,0.14730194254195478,0.14523220519101576,0.14317179666881485,0.14112193377901094,0.13908383332545543,0.13705871211194398,0.13504778694212788,0.13305227461981567,0.13107339194879924,0.1291123557326569,0.12717038277520504,0.1252486898803294,0.12334849385173219,0.121471011493066,0.11961745960810066,0.11778905500080139,0.11598701447449733,0.1142125548331589,0.11246689288065082,0.11075124542059278,0.10906682925671074
0,0,-0.2984096819363873,0.1471474315305154,0.145081963205615,0.14302583625863885,0.1409802691301053,0.13894648026067868,0.13692568809107558,0.13491911106178622,0.13292796761343728,0.13095347618665854,0.12899685522195825,0.12705932315991592,0.12514209844134155,0.12324639950670224,0.12137344479657336,0.1195244527515415,0.11770064181247286,0.11590323041949263,0.11413343701345313,0.11239248003501634,0.11068157792476446,0.1090019491231598
0,0,-0.2979595919183838,0.1469932258295179,0.14493202207656802,0.14288017226833538,0.14083889648448605,0.13880941480481884,0.13679294730918934,0.1347907140772327,0.13280393518873512,0.13083383072343446,0.12888162076102705,0.12694852538124296,0.12503576466400151,0.12314455868893848,0.12127612753577699,0.11943169128424153,0.11761247001428066,0.115819683805306,0.1140545527372196,0.11231829688983747,0.11061213634286593,0.10893729117600898
0,0,-0.2975095019003803,0.1468393250708207,0.14478238144504602,0.14273480434835334,0.1406978155019194,0.13867263662691315,0.1366604894446562,0.1346625956762501,0.1326801770428851,0.13071445526577408,0.12876665206605659,0.12683798916488837,0.12492968828358769,0.12304297114332169,0.12117905946520491,0.11933917497042484,0.11752453938035273,0.11573637441583767,0.11397590179823247,0.11224434324878863,0.1105429204887105,0.10887285523905049
0,0,-0.29705941188237656,0.146685728887205,0.14463304095305246,0.14258973215000004,0.14055702584292917,0.1385361453968441,0.13652831417672795,0.13453475554743477,0.13255669287393212,0.13059534952117152,0.12865194885395798,0.12672771423725743,0.12482386903616494,0.12294163661551838,0.12108224034019915,0.11924690357510637,0.11743684968543161,0.1156533020356767,0.11389748399097066,0.11217061891637731,0.11047393017670959,0.10880864113685218
0,0,-0.2966093218643729,0.14653243691231216,0.1444840002434361,0.1424449553253635,0.14041652716896968,0.13839994078528378,0.1363964211854311,0.13440719338020907,0.13243348238065733,0.1304765131977867,0.12853751084245046,0.12661770032561842,0.12471830665848782,0.122840554851883,0.12098566991675141,0.119154876864065,0.11734940070500699,0.11557046645014801,0.11381929911071126,0.11209712369767527,0.11040516522202526,0.10874464869465267
0,0,-0.2961592318463693,0.14637944878066128,0.14433525895998472,0.14230047352744563,0.1402763191422874,0.13826402246386787,0.13626481015164976,0.13427990886479513,0.1323105452626991,0.1303579460047029,0.1284233377500137,0.12650794715799285,0.12461300088810473,0.12273972559957885,0.1208893479516755,0.11906309460376202,0.11726219221532147,0.11548786744534223,0.11374134695329668,0.11202385739861265,0.11033662544052408,0.1086808777383027
0,0,-0.2957091418283657,0.14622676412761532,0.1441868167472813,0.14215628641007494,0.14013640142595662,0.13812839010490363,0.1361334807570337,0.1341529016922302,0.13218788122043879,0.13023964765173163,0.1283094292959358,0.12639845446308384,0.12450795146329952,0.12263914860647662,0.12079327420252761,0.11897155656141295,0.1171752239933963,0.11540550480797579,0.11366362731537749,0.11195081982566624,0.110268310648716,0.10861732809450364
0,0,-0.29525905181036205,0.14607438258947159,0.1440386732507779,0.14201239362795648,0.13999677368391839,0.1379930433816376,0.13600243268414663,0.1340261715543246,0.13206548995509793,0.130121617849496,0.12819578520029784,0.12628922197048115,0.1244031581231837,0.12253882362123908,0.12069744842753005,0.11888026250499611,0.11708849581683706,0.11532337832554729,0.11358613999430572,0.11187801078614112,0.11020022066386825,0.1085539995904582
